Country,Prevalence Cases
Afghanistan,53.95
Albania,114.14
Algeria,98.62
Angola,74.43
Argentina,166.23
Armenia,135.96
Australia,418.67
Austria,217.2
Azerbaijan,102.07
Bahamas,155.16
Bahrain,90.36
Bangladesh,61.6
Barbados,164.8
Belarus,207.74
Belgium,280.35
Belize,83.03
Benin,54.14
Bhutan,60.02
Bolivia (Plurinational State of),94.89
Bosnia Herzegovina,153.81
Botswana,84.08
Brazil,150.62
Brunei Darussalam,153.5
Bulgaria,165.17
Burkina Faso,59.96
Burundi,56.28
Cambodia,77.3
Cameroon,69.12
Canada,299.54
Cape Verde,58.75
Central African Republic,38.92
Chad,50.69
Chile,143.87
China,133.7
Colombia,124.02
Comoros,67.69
"Congo, Democratic Republic of",48.55
"Congo, Republic of",46.31
Costa Rica,133.45
Côte d'Ivoire,70.53
Croatia,245.08
Cuba,157.39
Cyprus,243.09
Czechia,233.76
Denmark,326.06
Djibouti,53.84
Dominican Republic,115.63
Ecuador,105.35
Egypt,106.39
El Salvador,78.14
Equatorial Guinea,69.07
Eritrea,42.5
Estonia,232.57
Eswatini,88.43
Ethiopia,51.15
Fiji,127.16
Finland,242.68
France (metropolitan),281.12
"France, Guadeloupe",183.81
"France, La Réunion",154.01
"France, Martinique",186.97
French Guyana,170.96
French Polynesia,172.86
Gabon,77.89
Gaza Strip and West Bank,98.28
Georgia,145.38
Germany,235.16
Ghana,70.44
Greece,208.19
Guam,132.2
Guatemala,73.62
Guinea,56.05
Guinea-Bissau,43.3
Guyana,88.78
Haiti,67.98
Honduras,76.38
Hungary,263.93
Iceland,238.14
India,59.52
Indonesia,86.56
"Iran, Islamic Republic of",102.16
Iraq,85.77
Ireland,304.96
Israel,206.44
Italy,234.38
Jamaica,136.94
Japan,217.88
Jordan,104.04
Kazakhstan,118.55
Kenya,85.57
"Korea, Democratic People Republic of",93.37
"Korea, Republic of",192.49
Kuwait,81.37
Kyrgyzstan,78.42
Lao People's Democratic Republic,89.38
Latvia,229.81
Lebanon,114.56
Lesotho,62.38
Liberia,54.3
Libya,85.15
Lithuania,235.8
Luxembourg,235.51
Madagascar,60.71
Malawi,78.73
Malaysia,107.13
Maldives,79.86
Mali,62.78
Malta,233.63
Mauritania,58.07
Mauritius,106.68
Mexico,102.1
Mongolia,139.73
Montenegro,183.83
Morocco,95.68
Mozambique,60.05
Myanmar,75.07
Namibia,120.77
Nepal,45.39
New Caledonia,234.32
New Zealand,332.17
Nicaragua,81.24
Niger,34.44
Nigeria,58.68
North Macedonia,146.01
Norway,321.11
Oman,78.35
Pakistan,56.63
Panama,116.84
Papua New Guinea,101.72
Paraguay,129.73
Peru,120.81
Philippines,119.99
Poland,208.85
Portugal,235.01
Puerto Rico,187.73
Qatar,65.72
Republic of Moldova,162.46
Romania,209.96
Russian Federation,188.08
Rwanda,44.63
Saint Lucia,124.8
Samoa,174.99
Sao Tome and Principe,83.1
Saudi Arabia,67.96
Senegal,58.18
Serbia,182.67
Sierra Leone,44.41
Singapore,191.71
Slovakia,225.78
Slovenia,255.9
Solomon Islands,84.2
Somalia,38.65
South Africa,133.5
South Sudan,43.02
Spain,228.68
Sri Lanka,75.14
Sudan,47.09
Suriname,120.95
Sweden,277.8
Switzerland,259.39
Syrian Arab Republic,74.74
Tajikistan,55.69
"Tanzania, United Republic of",72.21
Thailand,105.88
The Netherlands,298.41
The Republic of the Gambia,40.24
Timor-Leste,54.51
Togo,54.26
Trinidad and Tobago,139.39
Tunisia,90.63
Türkiye,165.05
Turkmenistan,79.81
Uganda,82.61
Ukraine,143.33
United Arab Emirates,84.87
United Kingdom,263.24
United States of America,314.59
Uruguay,208.81
Uzbekistan,74.48
Vanuatu,77.79
Venezuela,121.56
Viet Nam,95.39
Yemen,40.48
Zambia,85.57
Zimbabwe,113.77
